Event,Gender,#,Time,Name,Nationality,Date,Meet,Location
400m,Men,43,4:02.8,John Kinsella,United States,1970-08-20,US National Championships,"Los Angeles, United States"
400m,Men,44,4:02.6,Gunnar Larsson,United States,1970-09-07,European Championships,"Barcelona, Spain"
400m,Men,45,4:02.1,Tom McBreen,United States,1971-08-25,US National Championships,"Houston, United States"
400m,Men,46,4:01.7,Brad Cooper,Australia,1972-02-12,Australian Championships,"Brisbane, Australia"
400m,Men,47,4:00.11,Kurt Krumpholz,United States,1972-08-04,US Olympic Trials,"Chicago, United States"
400m,Men,48,3:58.18,Rick DeMont,United States,1973-09-09,World Championships,"Belgrade, Yugoslavia"
400m,Men,49,3:56.96,Tim Shaw,United States,1974-08-22,US National Championships,"Concord, United States"
400m,Men,50,3:54.69,Tim Shaw,United States,1974-08-22,US National Championships,"Concord, United States"
400m,Men,51,3:53.95,Tim Shaw,United States,1975-06-19,US World Championship Trials,"Long Beach, United States"
400m,Men,52,3:53.31,Tim Shaw,United States,1975-08-20,US National Championships,"Kansas City, United States"
400m,Men,53,3:53.08,Brian Goodell,United States,1976-06-18,US Olympic Trials,"Long Beach, United States"
400m,Men,54,3:51.93,Brian Goodell,United States,1976-07-22,Olympic Games,"Montreal, Canada"
400m,Men,55,3:51.56,Brian Goodell,United States,1977-08-27,USA vs East Germany Dual Meet,"West Berlin, West Germany"
400m,Men,56,3:51.41,Vladimir Salnikov,Soviet Union,1979-04-06,Soviet Union vs East Germany Junior Meet,"Potsdam, East Germany"
400m,Men,57,3:51.40,Vladimir Salnikov,Soviet Union,1979-08-19,Soviet Union vs Canada Dual Meet,"Moscow, Soviet Union"
400m,Men,58,3:51.20,Vladimir Salnikov,Soviet Union,1980-02-29,Soviet Union Winter Championships,"Potsdam, East Germany"
400m,Men,59,3:50.49,Peter Szmidt,Canada,1980-07-16,Canadian Championships,"Etobicoke, Canada"
400m,Men,60,3:49.57,Vladimir Salnikov,Soviet Union,1982-03-12,Soviet Union vs East Germany Dual Meet,"Moscow, Soviet Union"
400m,Men,60,3:49.57,Vladimir Salnikov,Soviet Union,1982-07-14,Soviet Union Championships,"Kiev, Soviet Union"
400m,Men,62,3:48.32,Vladimir Salnikov,Soviet Union,1983-02-19,Soviet Union Winter Championships,"Moscow, Soviet Union"
400m,Men,63,3:47.80,Michael Gross,West Germany,1985-06-27,West German Championships,"Wuppertal, West Germany"
400m,Men,64,3:47.38,Artur Wojdat,Poland,1988-03-25,US National Championships,"Orlando, United States"
400m,Men,65,3:46.95,Uwe Dassler,East Germany,1988-09-23,Olympic Games,"Seoul, South Korea"
400m,Men,66,3:46.47,Kieren Perkins,Australia,1992-04-03,Australian Championships,"Canberra, Australia"
400m,Men,67,3:45.00,Yevgeny Sadovyi,Unified Team at the Olympics,1992-07-29,Olympic Games,"Barcelona, Spain"
400m,Men,68,3:43.80,Kieren Perkins,Australia,1994-09-05,World Championships,"Rome, Italy"
